;CLASE;CELULA;FN;FP;VP;VN;P;R;E;NSR;FM;ER;NRM;JACC;DICE
18;1;normalSup26.jpg;125;4;755;70499;0.994729907773386;0.8579545454545454;0.9981928470364092;0.005298013245033113;0.9212934716290421;0.004545454545454545;0.07329545454545455;0.8540723981900452;0.9212934716290421
19;1;normalSup27.jpg;387;0;326;104719;1.0;0.45722300140252453;0.9963293876621898;0.0;0.6275264677574591;0.0;0.2713884992987377;0.45722300140252453;0.6275264677574591
20;1;normalSup28.jpg;181;0;228;114601;1.0;0.5574572127139364;0.9984262238066255;0.0;0.7158555729984301;0.0;0.22127139364303178;0.5574572127139364;0.7158555729984301
21;1;normalSup29.jpg;164;0;161;86939;1.0;0.49538461538461537;0.9981206453978732;0.0;0.6625514403292181;0.0;0.2523076923076923;0.49538461538461537;0.6625514403292181
22;1;normalSup3.jpg;985;596;0;97819;0.0;0.0;0.9840945674044266;;;0.6050761421319797;0.8025380710659898;0.0;0.0
23;1;normalSup30.jpg;139;573;320;119542;0.3583426651735722;0.6971677559912854;0.9940949126677393;1.790625;0.4733727810650888;1.2483660130718954;0.775599128540305;0.31007751937984496;0.47337278106508873
24;1;normalSup31.jpg;184;0;149;78345;1.0;0.44744744744744747;0.9976613538727471;0.0;0.6182572614107884;0.0;0.27627627627627627;0.44744744744744747;0.6182572614107884
25;1;normalSup32.jpg;234;0;459;155787;1.0;0.6623376623376623;0.9985046012269939;0.0;0.796875;0.0;0.16883116883116883;0.6623376623376623;0.796875
26;1;normalSup33.jpg;204;0;407;132325;1.0;0.6661211129296236;0.9984654269723777;0.0;0.7996070726915521;0.0;0.16693944353518822;0.6661211129296236;0.7996070726915521
27;1;normalSup34.jpg;224;0;609;138897;1.0;0.7310924369747899;0.9983969083231947;0.0;0.8446601941747572;0.0;0.13445378151260504;0.7310924369747899;0.8446601941747572
28;1;normalSup35.jpg;201;0;210;78843;1.0;0.5109489051094891;0.9974638504050268;0.0;0.6763285024154589;0.0;0.24452554744525548;0.5109489051094891;0.6763285024154589
29;1;normalSup36.jpg;4;17910;349;39814;0.019113861657264912;0.9886685552407932;0.6915474284140021;51.31805157593123;0.03750268643885666;50.73654390934844;25.373937677053824;0.019109675299786452;0.03750268643885665
